iso3,country,year,uk_import_qty_t,log_uk_import_qty_t,bii,bii_loss,bio_source
IRL,Ireland,2019,25811.12,10.158599428045388,0.401214092969894,0.598785907030106,ssp2_projected
IRL,Ireland,2020,23654.89,10.07136741153841,0.400635033845901,0.599364966154099,ssp2_projected
ITA,Italy,2010,21.0,3.091042453358316,0.63638824224472,0.36361175775528,historical
ITA,Italy,2011,162.0,5.093750200806762,0.646504461765289,0.353495538234711,historical
ITA,Italy,2012,60.0,4.110873864173311,0.646705090999603,0.35329490900039695,historical
ITA,Italy,2013,10.0,2.3978952727983707,0.650798320770264,0.349201679229736,historical
ITA,Italy,2014,18.9,2.990719731730447,0.652082204818726,0.34791779518127397,historical
ITA,Italy,2015,45.8,3.845883202923601,0.658419787883759,0.341580212116241,ssp2_projected
ITA,Italy,2016,185.12,5.226391626976448,0.658877372741699,0.341122627258301,ssp2_projected
ITA,Italy,2017,220.52,5.400512878862706,0.659754633903503,0.340245366096497,ssp2_projected
ITA,Italy,2018,339.2,5.829533679961761,0.660367667675018,0.339632332324982,ssp2_projected
ITA,Italy,2019,590.56,6.382763115298569,0.660598456859589,0.33940154314041104,ssp2_projected
ITA,Italy,2020,479.09,6.173973586326008,0.661287426948547,0.33871257305145297,ssp2_projected
LTU,Lithuania,2010,1.0,0.6931471805599453,0.694119572639465,0.305880427360535,historical
LTU,Lithuania,2011,2.0,1.0986122886681098,0.68966817855835,0.31033182144164995,historical
LTU,Lithuania,2012,3.0,1.3862943611198906,0.6845543384552,0.3154456615448,historical
LTU,Lithuania,2013,2.0,1.0986122886681098,0.677380979061127,0.32261902093887296,historical
LTU,Lithuania,2014,1.3,0.832909122935104,0.671540558338165,0.32845944166183505,historical
LTU,Lithuania,2015,2.1,1.1314021114911006,0.663160264492035,0.336839735507965,ssp2_projected
LTU,Lithuania,2016,3.23,1.4422019930581866,0.661753296852112,0.33824670314788796,ssp2_projected
LTU,Lithuania,2017,1.92,1.0715836162801904,0.660561740398407,0.339438259601593,ssp2_projected
LTU,Lithuania,2018,3.81,1.5706970841176697,0.658991277217865,0.341008722782135,ssp2_projected
LTU,Lithuania,2019,1.3,0.832909122935104,0.657659292221069,0.342340707778931,ssp2_projected
LTU,Lithuania,2020,3.36,1.4724720573609429,0.657091319561005,0.34290868043899503,ssp2_projected
LVA,Latvia,2010,1.0,0.6931471805599453,0.862397253513336,0.13760274648666404,historical
LVA,Latvia,2011,3.0,1.3862943611198906,0.861587703227997,0.13841229677200295,historical
LVA,Latvia,2012,1.0,0.6931471805599453,0.859036326408386,0.140963673591614,historical
LVA,Latvia,2013,1.0,0.6931471805599453,0.859663546085358,0.140336453914642,historical
LVA,Latvia,2014,2.65,1.2947271675944,0.859088122844696,0.14091187715530396,historical
LVA,Latvia,2015,14.6,2.747270914255491,0.85803210735321,0.14196789264679,ssp2_projected
LVA,Latvia,2016,4.14,1.6370530794670737,0.857673048973083,0.14232695102691695,ssp2_projected
LVA,Latvia,2017,0.63,0.48858001481867097,0.857426643371582,0.14257335662841797,ssp2_projected
LVA,Latvia,2019,0.24,0.2151113796169455,0.856714248657227,0.143285751342773,ssp2_projected
LVA,Latvia,2020,1.66,0.9783261227936076,0.856462061405182,0.143537938594818,ssp2_projected
NAM,Namibia,2014,0.02,0.019802627296179712,0.769852697849274,0.23014730215072599,historical
NAM,Namibia,2015,82.62,4.426282725928419,0.770433723926544,0.22956627607345603,ssp2_projected
NAM,Namibia,2016,188.7,5.245443876940969,0.770493507385254,0.22950649261474598,ssp2_projected
NLD,Netherlands (Kingdom of the),2010,529.0,6.272877006546167,0.591717660427094,0.40828233957290605,historical
NLD,Netherlands (Kingdom of the),2011,4906.0,8.498418036089904,0.593866109848022,0.406133890151978,historical
NLD,Netherlands (Kingdom of the),2012,2175.0,7.685243607975833,0.596339404582977,0.40366059541702304,historical
NLD,Netherlands (Kingdom of the),2013,333.0,5.811140992976701,0.600988686084747,0.399011313915253,historical
NLD,Netherlands (Kingdom of the),2014,2250.7,7.719440765465614,0.604918301105499,0.39508169889450095,historical
NLD,Netherlands (Kingdom of the),2015,341.4,5.835979644267587,0.609775245189667,0.39022475481033303,ssp2_projected
NLD,Netherlands (Kingdom of the),2016,670.19,6.509052256353095,0.609683811664581,0.39031618833541903,ssp2_projected
NLD,Netherlands (Kingdom of the),2017,1110.22,7.013213789838277,0.609562337398529,0.39043766260147095,ssp2_projected
NLD,Netherlands (Kingdom of the),2018,1171.91,7.0672431193671486,0.609346508979797,0.39065349102020297,ssp2_projected
NLD,Netherlands (Kingdom of the),2019,1232.91,7.11794326825612,0.608771145343781,0.39122885465621904,ssp2_projected
NLD,Netherlands (Kingdom of the),2020,844.14,6.739502294107052,0.608552515506744,0.39144748449325595,ssp2_projected
NOR,Norway,2011,2.0,1.0986122886681098,0.951800167560577,0.04819983243942305,historical
NOR,Norway,2012,3.0,1.3862943611198906,0.951871991157532,0.04812800884246804,historical
NOR,Norway,2013,4.0,1.6094379124341003,0.952135980129242,0.047864019870757946,historical
NOR,Norway,2014,0.5,0.4054651081081644,0.952130973339081,0.04786902666091897,historical
NOR,Norway,2017,5.8,1.916922612182061,0.949688076972961,0.05031192302703902,ssp2_projected
NZL,New Zealand,2012,66.0,4.204692619390966,0.603472113609314,0.39652788639068604,historical
