scenario,bii,year,iso3,bii_loss
ssp4rcp6p0gcam,0.83478981256485,2046,KOR,0.16521018743515004
ssp4rcp6p0gcam,0.509396910667419,2046,MNG,0.490603089332581
ssp4rcp6p0gcam,0.356263637542725,2046,BGD,0.643736362457275
ssp4rcp6p0gcam,0.775611758232117,2046,BTN,0.22438824176788297
ssp4rcp6p0gcam,0.56273478269577,2046,IND,0.43726521730422996
ssp5rcp8p5remindmagpie,0.695429265499115,2016,SDN,0.304570734500885
ssp4rcp6p0gcam,0.585207641124725,2046,LKA,0.414792358875275
ssp5rcp8p5remindmagpie,0.883871018886566,2016,MRT,0.11612898111343395
ssp4rcp6p0gcam,0.625018000602722,2046,THA,0.37498199939727805
ssp5rcp8p5remindmagpie,0.46601265668869,2016,NGA,0.53398734331131
ssp4rcp6p0gcam,0.572603523731232,2046,TLS,0.427396476268768
ssp5rcp8p5remindmagpie,0.519595205783844,2016,SLE,0.480404794216156
ssp4rcp6p0gcam,0.686874270439148,2046,AZE,0.31312572956085205
ssp4rcp6p0gcam,1.0,2046,BHR,0.0
ssp5rcp8p5remindmagpie,0.736134767532349,2016,DJI,0.26386523246765103
ssp4rcp6p0gcam,0.771067917346954,2046,GEO,0.228932082653046
ssp5rcp8p5remindmagpie,0.753051340579987,2016,ERI,0.24694865942001298
ssp4rcp6p0gcam,0.896921455860138,2046,ISR,0.10307854413986195
ssp5rcp8p5remindmagpie,0.67430055141449,2016,MWI,0.32569944858551003
ssp4rcp6p0gcam,0.76934015750885,2046,YEM,0.23065984249115
ssp5rcp8p5remindmagpie,1.0,2016,MYT,0.0
ssp4rcp6p0gcam,0.859603762626648,2046,AND,0.14039623737335205
ssp5rcp8p5remindmagpie,0.928463160991669,2016,REU,0.07153683900833097
ssp4rcp6p0gcam,0.830225050449371,2046,HRV,0.169774949550629
ssp5rcp8p5remindmagpie,0.616333305835724,2016,SSD,0.383666694164276
ssp4rcp6p0gcam,0.692831933498383,2046,ITA,0.307168066501617
ssp5rcp8p5remindmagpie,0.863802015781403,2016,ZWE,0.13619798421859697
ssp4rcp6p0gcam,0.637845814228058,2046,HUN,0.362154185771942
ssp5rcp8p5remindmagpie,0.940091669559479,2016,COD,0.05990833044052102
ssp4rcp6p0gcam,0.521484911441803,2046,MDA,0.478515088558197
ssp5rcp8p5remindmagpie,0.791406154632568,2016,TCD,0.20859384536743197
ssp4rcp6p0gcam,0.759801149368286,2046,POL,0.24019885063171398
ssp5rcp8p5remindmagpie,0.696918308734894,2016,AUS,0.303081691265106
ssp4rcp6p0gcam,0.588212847709656,2046,UKR,0.411787152290344
ssp4rcp6p0gcam,0.454697549343109,2046,DNK,0.545302450656891
