iso3,country,year,export_qty_t,log_export_qty_t,bii,crops,highintensityag,hpd,pastureland,qualitynatural,urbanextent
NLD,Netherlands (Kingdom of the),2012,2175.0,7.685243607975833,0.596339404582977,0.245826587080956,0.346782475709915,463.227325439453,0.197030141949654,0.210972622036934,0.0842503607273102
NLD,Netherlands (Kingdom of the),2013,333.0,5.811140992976701,0.600988686084747,0.240184903144836,0.340558022260666,464.002563476562,0.196401566267014,0.212692692875862,0.084748700261116
NLD,Netherlands (Kingdom of the),2014,2250.7,7.719440765465614,0.604918301105499,0.236988887190819,0.335060685873032,465.780578613281,0.19396136701107,0.214417770504951,0.0853754878044128
NOR,Norway,2011,2.0,1.0986122886681098,0.951800167560577,0.0234078150242567,0.0168506726622581,14.7138013839722,0.0047632353380322,0.813616096973419,0.0041088182479143
NOR,Norway,2012,3.0,1.3862943611198906,0.951871991157532,0.0234074722975492,0.0168568231165409,14.8585262298584,0.0047361459583044,0.813925683498383,0.004172352142632
NOR,Norway,2013,4.0,1.6094379124341003,0.952135980129242,0.0231634974479675,0.0166643429547548,15.1015787124634,0.0047629075124859,0.814219832420349,0.0042175538837909
NOR,Norway,2014,0.5,0.4054651081081644,0.952130973339081,0.0231041591614485,0.0166515670716763,15.2638854980469,0.0047758654691278,0.814222097396851,0.0042832219041883
NZL,New Zealand,2012,66.0,4.204692619390966,0.603472113609314,0.0224066469818354,0.0913235545158386,20.5336284637451,0.367949873209,0.281889528036118,0.0086143435910344
NZL,New Zealand,2013,34.0,3.5553480614894135,0.602401375770569,0.0221235863864422,0.0912603512406349,20.7331295013428,0.368678003549576,0.279942989349365,0.0088635357096791
PHL,Philippines,2010,1.0,0.6931471805599453,0.627686262130737,0.301499128341675,0.178761869668961,286.964477539062,0.0369237065315247,0.196082442998886,0.0127951763570309
POL,Poland,2010,221.0,5.402677381872279,0.698171138763428,0.362793833017349,0.157244890928268,121.73323059082,0.105510167777538,0.309064477682114,0.0206494275480509
POL,Poland,2011,230.0,5.442417710521793,0.694046258926392,0.36809641122818,0.159102290868759,121.816795349121,0.105714254081249,0.308538109064102,0.0208478420972824
POL,Poland,2012,309.0,5.736572297479192,0.698515117168427,0.362930506467819,0.156621068716049,121.900581359863,0.103045724332333,0.310593217611313,0.0210463143885136
POL,Poland,2013,729.0,6.593044534142437,0.712088763713837,0.339817464351654,0.147001266479492,121.882423400879,0.105201654136181,0.312649130821228,0.0212334711104631
POL,Poland,2014,487.8,6.191953407857386,0.721441924571991,0.325246155261993,0.140199735760689,121.922348022461,0.105372704565525,0.314695447683334,0.0214308518916368
PRT,Portugal,2014,0.21,0.19062035960864973,0.766941368579865,0.178411051630974,0.140485599637032,122.708343505859,0.194065019488335,0.475158184766769,0.0174891222268343
ROU,Romania,2010,108.0,4.6913478822291435,0.609481990337372,0.403286516666412,0.147320926189423,108.076179504395,0.185392007231712,0.329911589622498,0.0074371970258653
ROU,Romania,2011,235.0,5.4638318050256105,0.613204479217529,0.396470665931702,0.144669935107231,107.803398132324,0.185212910175323,0.329930365085602,0.0075052962638437
ROU,Romania,2012,781.0,6.661854740545311,0.618292689323425,0.388632208108902,0.141578882932663,107.530059814453,0.183032691478729,0.329944223165512,0.0075738136656582
ROU,Romania,2013,543.0,6.298949246855942,0.610755920410156,0.398291647434235,0.144803985953331,107.248168945312,0.185546740889549,0.323899447917938,0.0076413243077695
ROU,Romania,2014,245.4,5.506956231659364,0.610071003437042,0.398006409406662,0.144698411226273,106.88166809082,0.187030628323555,0.323097735643387,0.0077078528702259
SVK,Slovakia,2014,0.1,0.09531017980432487,0.678365647792816,0.284066736698151,0.121616870164871,141.665832519531,0.0997202470898628,0.45440861582756,0.0201243851333857
SVN,Slovenia,2012,1.0,0.6931471805599453,0.79846066236496,0.0974800586700439,0.0704677328467369,68.7162780761719,0.124844454228878,0.548576653003693,0.0157879069447517
SWE,Sweden,2010,1538.0,7.338888133838879,0.943167984485626,0.0548394024372101,0.0470150150358677,21.9837017059326,0.0090677263215184,0.800795555114746,0.0039041023701429
SWE,Sweden,2011,1747.0,7.466227556215481,0.944839000701904,0.0545282810926437,0.0467650815844536,22.1612987518311,0.0089874500408768,0.806735813617706,0.0039527635090053
SWE,Sweden,2012,874.0,6.774223886357614,0.9464390873909,0.0542995557188988,0.0465822406113148,22.3381004333496,0.0088592832908034,0.812319815158844,0.0040017589926719
SWE,Sweden,2013,115.0,4.7535901911063645,0.947933912277222,0.0542239136993885,0.0465095601975918,22.4128818511963,0.0088345641270279,0.817740678787231,0.0040324046276509
SWE,Sweden,2014,59.5,4.102643365036796,0.949286341667175,0.0539396218955517,0.0463250353932381,22.6005382537842,0.0088811162859201,0.82270747423172,0.0040809544734656
UKR,Ukraine,2010,1.0,0.6931471805599453,0.581691563129425,0.560281693935394,0.18520525097847,69.573844909668,0.129993543028831,0.190379545092583,0.0101973274722695
UKR,Ukraine,2011,6.0,1.9459101490553132,0.581413745880127,0.560715854167938,0.184978008270264,69.1633682250977,0.129868283867836,0.19124861061573,0.0102171171456575
UKR,Ukraine,2012,6.0,1.9459101490553132,0.581211447715759,0.560954988002777,0.184596836566925,68.7529373168945,0.12981416285038,0.192150264978409,0.0102359810844064
UKR,Ukraine,2013,6.0,1.9459101490553132,0.581225216388702,0.560907483100891,0.183984622359276,68.3213272094727,0.129624500870705,0.193177476525307,0.0102518014609814
UKR,Ukraine,2014,4.03,1.6154199841116479,0.581053376197815,0.561077415943146,0.183798044919968,67.9391403198242,0.129552915692329,0.194114238023758,0.0102696949616075
